,Laser Power [W],Scan Speed [mm/s],Layer Thickness [Microm.],Hatch Distance [mm],Laser Energy Density E [J/mm^3],Relative Density [%]
809,325.0,1500.0,50.0,0.12,0.03611111111111111,99.763
810,325.0,1500.0,50.0,0.12,0.03611111111111111,99.317
811,350.0,1175.0,50.0,0.12,0.04964539007092199,99.233
812,350.0,1175.0,50.0,0.12,0.04964539007092199,99.789
813,350.0,1175.0,50.0,0.12,0.04964539007092199,99.788
814,325.0,1175.0,50.0,0.12,0.04609929078014184,99.467
815,325.0,1175.0,50.0,0.12,0.04609929078014184,99.247
816,325.0,1175.0,50.0,0.12,0.04609929078014184,99.059
817,350.0,1175.0,50.0,0.1,0.059574468085106386,99.639
818,350.0,1175.0,50.0,0.1,0.059574468085106386,99.424
819,350.0,1175.0,50.0,0.1,0.059574468085106386,99.453
820,325.0,1175.0,50.0,0.1,0.05531914893617021,99.013
821,325.0,1175.0,50.0,0.1,0.05531914893617021,98.92
822,325.0,1175.0,50.0,0.1,0.05531914893617021,99.116
823,325.0,1175.0,50.0,0.1,0.05531914893617021,99.282
824,325.0,1175.0,50.0,0.1,0.05531914893617021,99.328
825,325.0,1175.0,50.0,0.1,0.05531914893617021,98.974
826,325.0,1175.0,50.0,0.1,0.05531914893617021,99.315
827,325.0,1175.0,50.0,0.1,0.05531914893617021,99.33
828,325.0,1175.0,50.0,0.1,0.05531914893617021,99.349
829,325.0,1175.0,50.0,0.1,0.05531914893617021,99.351
830,325.0,1175.0,50.0,0.1,0.05531914893617021,99.388
831,325.0,1175.0,50.0,0.1,0.05531914893617021,99.363
832,325.0,1175.0,50.0,0.1,0.05531914893617021,99.318
833,325.0,1175.0,50.0,0.1,0.05531914893617021,99.091
834,325.0,1175.0,50.0,0.1,0.05531914893617021,98.912
835,325.0,1175.0,50.0,0.1,0.05531914893617021,99.135
836,325.0,1175.0,50.0,0.1,0.05531914893617021,99.315
837,325.0,1175.0,50.0,0.1,0.05531914893617021,99.392
838,325.0,1175.0,50.0,0.1,0.05531914893617021,99.296
839,325.0,1175.0,50.0,0.1,0.05531914893617021,99.315
840,325.0,1175.0,50.0,0.1,0.05531914893617021,99.316
841,325.0,1175.0,50.0,0.1,0.05531914893617021,99.315
842,325.0,1175.0,50.0,0.1,0.05531914893617021,99.31
843,325.0,1175.0,50.0,0.1,0.05531914893617021,99.302
844,325.0,1175.0,50.0,0.1,0.05531914893617021,99.363
845,325.0,1175.0,50.0,0.1,0.05531914893617021,99.275
846,325.0,1175.0,50.0,0.1,0.05531914893617021,99.222
847,325.0,1175.0,50.0,0.1,0.05531914893617021,99.186
848,325.0,1175.0,50.0,0.1,0.05531914893617021,99.223
849,325.0,1175.0,50.0,0.1,0.05531914893617021,99.199
850,300.0,1175.0,50.0,0.1,0.05106382978723404,98.912
851,300.0,1175.0,50.0,0.1,0.05106382978723404,98.962
852,300.0,1175.0,50.0,0.1,0.05106382978723404,98.88
853,315.0,1175.0,50.0,0.1,0.05361702127659575,99.119
854,315.0,1175.0,50.0,0.1,0.05361702127659575,99.27
855,315.0,1175.0,50.0,0.1,0.05361702127659575,99.09
861,375.0,1125.0,60.0,0.14,0.03968253968253967,99.0
