,Laser Power [W],Scan Speed [mm/s],Layer Thickness [Microm.],Hatch Distance [mm],Laser Energy Density E [J/mm^3],Relative Density [%]
0,300.0,160.0,30.0,0.11,568.1818181818181,99.94
1,300.0,160.0,30.0,0.11,568.1818181818181,99.94
2,300.0,160.0,30.0,0.11,568.1818181818181,99.94
3,300.0,160.0,30.0,0.11,568.1818181818181,99.94
4,300.0,160.0,30.0,0.11,568.1818181818181,99.94
5,260.0,200.0,30.0,0.09,481.48148148148147,99.92
6,260.0,200.0,30.0,0.09,481.48148148148147,99.92
7,260.0,200.0,30.0,0.09,481.48148148148147,99.92
8,260.0,200.0,30.0,0.09,481.48148148148147,99.92
9,260.0,200.0,30.0,0.09,481.48148148148147,99.92
10,200.0,220.0,30.0,0.07,432.9004329004328,99.82
11,200.0,220.0,30.0,0.07,432.9004329004328,99.82
12,200.0,220.0,30.0,0.07,432.9004329004328,99.82
13,200.0,220.0,30.0,0.07,432.9004329004328,99.82
14,200.0,220.0,30.0,0.07,432.9004329004328,99.82
15,160.0,200.0,30.0,0.07,380.9523809523809,99.87
16,160.0,200.0,30.0,0.07,380.9523809523809,99.87
17,160.0,200.0,30.0,0.07,380.9523809523809,99.87
18,160.0,200.0,30.0,0.07,380.9523809523809,99.87
19,160.0,200.0,30.0,0.07,380.9523809523809,99.87
40,350.0,1435.0,30.0,0.17,47.824007651841214,97.46
41,370.0,1435.0,30.0,0.17,50.55680808908929,97.39
42,350.0,1335.0,30.0,0.17,51.40633032239112,97.49
43,390.0,1435.0,30.0,0.17,53.289608526337354,97.68
44,370.0,1335.0,30.0,0.17,54.34383491224204,97.75
45,350.0,1235.0,30.0,0.17,55.568786218941014,97.46
46,390.0,1335.0,30.0,0.17,57.28133950209296,97.85
47,370.0,1235.0,30.0,0.17,58.744145431451926,97.28
48,390.0,1235.0,30.0,0.17,61.91950464396284,98.3
49,350.0,1750.0,60.0,0.1,33.333333333333336,98.79
50,370.0,1750.0,60.0,0.1,35.23809523809524,98.78
51,350.0,1650.0,60.0,0.1,35.35353535353535,98.79
52,390.0,1750.0,60.0,0.1,37.142857142857146,98.78
53,370.0,1650.0,60.0,0.1,37.37373737373737,99.03
54,350.0,1550.0,60.0,0.1,37.634408602150536,98.65
55,390.0,1650.0,60.0,0.1,39.39393939393939,99.28
56,370.0,1550.0,60.0,0.1,39.784946236559136,98.84
57,390.0,1550.0,60.0,0.1,41.93548387096774,98.87
58,275.0,1500.0,50.0,0.19,19.29824561403509,93.36
59,275.0,1500.0,50.0,0.14,26.190476190476186,97.52
60,275.0,1500.0,50.0,0.09,40.74074074074074,99.22
61,300.0,1500.0,50.0,0.19,21.05263157894737,95.03
62,300.0,1500.0,50.0,0.14,28.571428571428566,98.6
63,300.0,1500.0,50.0,0.09,44.44444444444444,98.1
64,325.0,1500.0,50.0,0.19,22.80701754385965,95.75
65,325.0,1500.0,50.0,0.14,30.952380952380945,97.94
66,325.0,1500.0,50.0,0.09,48.148148148148145,98.11
67,350.0,1500.0,50.0,0.19,24.56140350877193,96.09
68,350.0,1500.0,50.0,0.14,33.33333333333333,97.92
69,350.0,1500.0,50.0,0.09,51.851851851851855,98.89
70,370.0,1500.0,50.0,0.19,25.964912280701753,96.67
71,370.0,1500.0,50.0,0.14,35.238095238095234,97.92
72,370.0,1500.0,50.0,0.09,54.81481481481482,98.53
73,400.0,1500.0,30.0,0.1,88.88888888888889,98.98
74,400.0,1000.0,30.0,0.19,70.17543859649122,98.94
75,600.0,1700.0,30.0,0.19,61.91950464396285,98.88
76,600.0,1700.0,30.0,0.19,61.91950464396285,98.75
77,400.0,1500.0,30.0,0.19,46.783625730994146,98.74
78,600.0,1500.0,30.0,0.19,70.17543859649122,98.74
79,400.0,1500.0,30.0,0.1,88.88888888888889,98.7
80,600.0,1700.0,30.0,0.19,61.91950464396285,98.67
