,y_train,y_train_pre,y_test,y_test_pre
0,95.4,91.0510113444385,99.8,99.8123508393864
1,99.7,99.75217376819124,99.9,100.22267200725457
2,99.9,99.06593636462543,99.9,99.86149135399995
3,99.7,100.18407956146396,98.9,98.63343354209505
4,97.9,99.02826729379896,99.9,100.18407956146396
5,92.5,96.65598735986646,99.9,99.94067400584595
6,99.8,99.84702070654285,100.0,99.94067400584595
7,99.8,99.42310104550288,99.7,99.8123508393864
8,99.8,99.18162381745589,99.7,99.84702070654286
9,97.8,94.20556790502752,65.5,91.05101134443849
10,98.0,96.65598735986646,99.9,99.86149135399995
11,99.9,99.61423536462652,,
12,100.0,99.61423536462652,,
13,96.8,99.06593636462543,,
14,97.8,98.63343354209505,,
15,99.9,99.18162381745589,,
16,99.9,100.22267200725457,,
17,99.9,99.86149135399995,,
18,99.4,98.63343354209505,,
19,99.6,99.02826729379896,,
20,99.8,99.42310104550288,,
21,99.8,99.75217376819124,,
22,99.4,98.66284652918385,,
23,99.3,98.66284652918385,,
24,99.9,99.8123508393864,,
25,99.3,99.02826729379896,,
26,99.5,96.65598735986646,,
27,99.9,99.94067400584595,,
28,99.9,100.22267200725457,,
29,100.0,100.18407956146396,,
30,99.5,99.50017576236202,,
31,99.4,99.42310104550288,,
32,99.8,99.75217376819124,,
33,99.9,99.61423536462652,,
34,99.8,99.84702070654285,,
35,99.9,99.50017576236202,,
36,100.0,99.06593636462543,,
37,97.4,99.18162381745589,,
38,87.3,94.20556790502752,,
39,96.9,94.20556790502752,,
40,100.0,99.50017576236203,,
41,87.0,91.05101134443849,,
42,97.6,98.66284652918387,,
