,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
41,2.868451452255249,1.1702665220279624,0.0010004043579101562,2.550075904297054e-06,logistic,1e-05,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.0438120459344065,-0.7563406721254087,-0.21646471580675236,-0.3598137278351751,-0.9731510728715761,-0.8699164469146637,0.6463422732443821,1
62,1.935237979888916,0.3130897610637202,0.0008009910583496094,0.00040049591239295904,tanh,0.0001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.0758061717049583,-1.1552959862872607,-0.1417961735729269,-0.6173830453090869,-0.8780608468326621,-0.973668444741379,0.6443272006069444,2
53,9.987669610977173,1.6312593442931305,0.0012005805969238282,0.00040143440648403046,logistic,0.001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.815974298748911,-0.8660747249785345,-0.14711202826998468,-0.5900364082339031,-0.5482954515863371,-0.993498582363534,0.9396821088860685,3
36,0.38448777198791506,0.1610988693426136,0.0006015777587890625,0.0004911964210734419,logistic,1e-05,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-3.0412256664048383,-0.8816363208149794,-0.17795812237545555,-0.2676258361425796,-0.7280819849418333,-1.0193055861359372,1.0454484994324058,4
37,0.3310755729675293,0.05594332326899356,0.0007955074310302734,0.00039776658802368516,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.57006944202571,-0.768128994638577,-0.11133943948761635,-0.22835431370987633,-1.7581948390686826,-1.0872174057860924,0.9424289795545007,5
56,1.3323023796081543,0.35955323440707987,0.0006021499633789062,0.0004916543420697146,tanh,1e-05,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.6805028648074813,-0.810917586875067,-0.1663600977123074,-0.7121554307508402,-1.0680993727738395,-1.0876070705839072,0.8489893463174305,6
65,4.517425203323365,1.2289408305590368,0.0010001182556152344,1.0271386732357988e-06,tanh,0.0001,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.2980335375830756,-1.532261658717036,-0.7247019537017748,-0.2530540598485565,-0.686474152233628,-1.0989050724168143,0.7281892858733551,7
69,3.059093189239502,1.3667601700329108,0.00020008087158203126,0.0004001617431640625,tanh,0.001,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-3.9085040122585384,-0.18506213233114716,-0.13417591181355326,-0.6685170273631473,-0.6920390179704314,-1.1176596203473637,1.4148266795242388,8
43,0.6801531314849854,0.13949740988457943,0.0005998611450195312,0.0004897856029863712,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.727103374368752,-1.0015672391131745,-0.1993079428800282,-0.5534824829569401,-1.1809291498582943,-1.132478037835438,0.868142544756388,9
46,1.8118122100830079,0.16641134910262453,0.0003997802734375,0.0004896333904756518,logistic,0.0001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-2.61457819903558,-1.5456139455013236,-0.1529267853019933,-0.5549876394086735,-0.9299425644913626,-1.1596098267477866,0.8599602235873626,10
