,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,2.624599647521973,1.1729891180354597,0.0007988452911376953,0.00039943606199220854,relu,1e-05,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.4705910776140465,-0.41548069030089024,-3.471074294204745,-0.5353232330461019,-0.662345844205264,-1.3109630278742095,1.1415578615531716,1
45,1.0536401748657227,0.326021103171809,0.0011998653411865235,0.0003991637601745048,logistic,0.0001,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-0.7997851024175711,-0.9718624548925614,-4.016610904282665,-0.5694945903331176,-0.849631026872716,-1.441476815759726,1.294160416336457,2
37,0.543924617767334,0.1661362112539145,0.0005996227264404297,0.000489594836516493,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.9941615012564387,-0.9662700936442592,-3.9662493538742982,-0.5187548069075602,-0.4221013074547474,-1.5735074126274606,1.319783323091316,3
52,2.448358583450317,0.2707602446276447,0.00039806365966796873,0.0004875367092860513,logistic,0.001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.29591807614248716,-0.5195884526452188,-6.195780966465226,-0.3795710889442292,-0.9243071813292403,-1.6630331531052804,2.2766318581494707,4
46,1.393517541885376,0.21897532790239452,0.0006000041961669922,0.0004899030532818896,logistic,0.0001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.4536727890419185,-0.4948223768741323,-6.114573224108018,-0.45457870078910134,-1.0062922701085604,-1.7047878721843461,2.214788088260742,5
11,2.734224224090576,2.435974303895596,0.0007987022399902344,0.00039936960946167964,relu,0.0001,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.7212046204885068,-0.6541995969870622,-5.577451862271371,-0.25982953235474393,-0.8743007077670009,-1.8173972639737368,1.939883541464943,6
17,3.464787483215332,1.6788270150477098,0.0007988929748535157,0.00039944721318397924,relu,0.001,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.341080440512449,-0.5250779708066388,-4.783788500200126,-0.40269336220451923,-1.0968316023016806,-1.829894375205083,1.6287192087501519,7
42,0.41289544105529785,0.12731326022730016,0.0003995418548583984,0.0004893375404369692,logistic,0.0001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.5265776462194363,-1.1449262681059598,-4.403027986705486,-0.4101115966288586,-1.8711141797888775,-1.8711515354897237,1.355814911609723,8
51,1.0194314479827882,0.12772044683139605,0.0004002571105957031,0.0004902132145011108,logistic,0.001,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-0.6525672907463452,-0.7296222702723973,-6.659742885051025,-0.3900858174788727,-1.020834575064025,-1.890570567722533,2.393046294502805,9
36,0.2548572063446045,0.058090914128048746,0.0008011341094970703,0.0004005701589603139,logistic,1e-05,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-0.7877589070784851,-1.1384162079739335,-5.176619731362045,-0.36543640767066615,-1.9960745996914684,-1.8928611707553196,1.727263032557855,10
