,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46,1.3389090538024901,0.19437115864033622,0.0005985260009765625,0.0004886950149778345,logistic,0.0001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.8802493821495783,-0.3525873988305672,-0.4377555543817495,-1.4270669815494732,-0.7002474582271045,-0.9595813550276946,0.5956794987706664,1
41,2.760226011276245,0.846482534411638,0.0007996082305908204,0.0003998075950910623,logistic,1e-05,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.6447595485194557,-0.776540167566511,-0.43781258784759874,-1.8618074821043475,-1.0368031976933847,-1.1515445967462596,0.5312140145096683,2
56,0.9270123958587646,0.22905764345818158,0.0005992412567138672,0.0004892799010990525,tanh,1e-05,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.0746909271767753,-0.327843736224283,-0.49791664862806856,-3.4610097157074895,-0.8458797571950734,-1.241468156986338,1.1400217528729302,3
53,9.945460271835326,1.842848359652897,0.0008002281188964844,0.00040011592053519396,logistic,0.001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.3817581646278678,-0.35434514135749384,-0.5869251078623722,-4.479844293481724,-0.24051581524745375,-1.4086777045153824,1.5864605612614502,4
47,8.030824756622314,4.140169106160051,0.0007970333099365234,0.0003985178638192299,logistic,0.0001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.5875163380850292,-0.8640107571105825,-0.7259973192129866,-3.8856815206691553,-0.4334860444557838,-1.4993383959067077,1.2522098644557416,5
40,0.6571491241455079,0.21071166450971002,0.0008007049560546875,0.00040036886258013103,logistic,1e-05,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-4.261483649324773,-0.7883468614314444,-0.26766686113973814,-1.941232339061847,-0.2409998891585378,-1.4999459200232679,1.5119956575179248,6
37,0.5755335330963135,0.18667462002761487,0.0005999565124511719,0.0004898728381553476,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-3.5829191999859837,-0.3338983241893454,-0.7206251373452465,-2.968878354208359,-0.18168709260849758,-1.5576016216674864,1.42721641636439,7
43,1.03523588180542,0.3438985208724139,0.0007989406585693359,0.00039947611717213507,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.707337686698077,-0.3474266446468494,-0.6614542914653965,-4.703071037922253,-0.4352235608663676,-1.5709026443197887,1.6396859562458828,8
5,2.753026819229126,0.7647464709359392,0.0008031845092773438,0.000401635310352323,relu,1e-05,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-4.526972344795023,-0.7068408230581671,-0.7276417016527046,-0.5632560610625648,-1.3429643908421134,-1.5735350642821146,1.5008872548217336,9
48,0.5123129844665527,0.11204419532644741,0.0006020069122314453,0.0004915387673500071,logistic,0.001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.273026664831268,-0.39154366283579284,-0.7427879151738424,-4.998079895709424,-0.4758259733879178,-1.776252822387649,1.749487530765165,10
68,1.4999401092529296,0.30292971022049453,0.00040078163146972656,0.000490855392446544,tanh,0.001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.3897735897607497,-0.3882569753398846,-0.7351707393147936,-5.982106626147034,-0.4192295465887039,-1.782907495430233,2.130269820405852,11
52,2.5015732288360595,0.722818336791969,0.0005991458892822266,0.0004892033897706782,logistic,0.001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.4326799378305737,-0.3266364006606935,-0.7718642711978371,-6.20572194755331,-0.280478256819964,-1.8034761628124758,2.239734769537684,12
50,1.6499740123748778,0.2945028797404512,0.0008007049560546875,0.00040035523249645007,logistic,0.001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.8794813201995886,-0.35889294343768474,-1.4898944533649046,-5.460334499749002,-0.3401274047214536,-1.9057461242945266,1.8789698086595084,13
61,1.0098283290863037,0.26821593018879675,0.00020051002502441406,0.0004010200500488281,tanh,0.0001,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.383622545495911,-0.5721262109462099,-1.4941096735365202,-5.669511199512717,-0.45773368859781116,-1.9154206636178341,1.9226439735020229,14
62,2.1526888847351073,0.2899698835698916,0.0007999897003173828,0.0003999954008360223,tanh,0.0001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.807661545297668,-0.3742729087631945,-1.241081268927645,-5.685953624692548,-0.6421816116541929,-1.9502301918670497,1.9325361588760621,15
71,7.464295339584351,1.403285814834291,0.000598287582397461,0.0004885150863596392,tanh,0.001,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.7966749294657802,-0.16312292574822237,-0.7298845970038865,-6.595517191909011,-0.5992999727938795,-1.9768999233841562,2.3709374671971304,16
42,0.3736873626708984,0.04035930854584546,0.0006011962890625,0.0004908780109222601,logistic,0.0001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.7316347200261584,-0.6263850956093457,-0.9495019733699838,-4.915602288194104,-0.7171032665853745,-1.9880454687569933,1.653571864208379,17
38,0.5037140369415283,0.08817494184161649,0.0006004810333251953,0.0004903114012881694,logistic,1e-05,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.5563516186421502,-0.5649817666802066,-0.6166501522041903,-6.585547640185621,-0.7201522102584413,-2.008736677594122,2.316662853989753,18
49,1.0302305221557617,0.14471106191987268,0.0006005287170410157,0.0004903332843695772,logistic,0.001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.3590700790258892,-0.39234215437577413,-1.5147444892785504,-6.614898424171444,-0.35720188838019806,-2.047651407046371,2.3330472623106764,19
70,5.683491945266724,1.4438257379339736,0.0004002571105957031,0.0004902139798135515,tanh,0.001,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.467899521798194,-0.5313669497282039,-1.4907770530146451,-6.880673342157717,-0.3229699254320872,-2.1387373584261695,2.4181184353016527,20
44,2.1184806346893312,0.27673353375968046,0.0008013725280761718,0.0004006897964648688,logistic,0.0001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.770969473014569,-0.48395225010036,-2.0150829357985454,-6.048974406467604,-0.41167868688644454,-2.1461315504535046,2.0572442463135006,21
55,0.5775323390960694,0.24617646904623813,0.0005998611450195312,0.0004897882026732455,tanh,1e-05,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.7278856417712147,-1.3204460667919435,-1.4067943527059472,-5.5611299672734935,-0.7236790166258058,-2.147987009033681,1.7371743628245997,22
67,1.4747321605682373,0.26346213838657523,0.0004002571105957031,0.0004902128434401034,tanh,0.001,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-3.020115178131391,-0.4384149975241983,-0.7761137113663921,-6.008222458796842,-0.5124998901275553,-2.151073247189276,2.1513469534275087,23
45,0.8157890319824219,0.28890758328421823,0.0005997657775878906,0.000489710173562511,logistic,0.0001,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.7453811393841685,-0.5237718440972381,-1.0958101730971446,-6.931572041834858,-0.7339435440247758,-2.2060957484876367,2.398856562670489,24
16,0.5207191467285156,0.208647208927077,0.000804901123046875,0.0004024756172931995,relu,0.001,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-5.832903628214993,-0.6662795426508552,-0.8020278797209194,-3.208003759595907,-0.6974627189667859,-2.241335505829892,2.038124628294826,25
51,1.1914718627929688,0.3081953541530029,0.0005988121032714844,0.0004889287557589617,logistic,0.001,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-2.7092543403000864,-0.34544061347325505,-0.9316750200234171,-6.930796436682191,-0.3442135687187875,-2.2522759958395473,2.494718142846956,26
17,7.265051078796387,3.6546112229300514,0.0008015632629394531,0.0004008163644739243,relu,0.001,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.7355471980340846,-0.49246548680982,-3.798168882884987,-3.580027499131121,-0.8628304223761012,-2.2938078978472225,1.3715048277325186,27
11,2.498169946670532,0.10310512150656341,0.000999307632446289,0.0006327146771927606,relu,0.0001,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-4.002897973212801,-0.7275240723134648,-0.6637285424369227,-4.4291734073050195,-1.6503039389708676,-2.2947255868478154,1.6127784476537768,28
66,0.8325869083404541,0.1792304357211593,0.0004009723663330078,0.0004910889939232856,tanh,0.001,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-3.0959191761872793,-0.49200995600512215,-0.7123237590807595,-6.8854054528498985,-0.7795269269611296,-2.3930370542168378,2.4379308130364077,29
65,2.4711596012115478,0.5584685919448547,0.0008010387420654297,0.00040052324199843926,tanh,0.0001,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-3.749330648166445,-0.49454400671327103,-0.7095438615221223,-6.970686540892914,-0.29089681719221744,-2.443000374897394,2.593813571796327,30
10,0.44790310859680177,0.44962940235606896,0.0006005764007568359,0.0004903712284956976,relu,0.0001,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-4.966874362472323,-0.8921406047852803,-0.603392797777071,-5.560410391171558,-0.3959361649173757,-2.4837508642247217,2.2829663180587487,31
4,0.49091401100158694,0.3483084004347,0.0008014678955078125,0.00040073562156004496,relu,1e-05,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-4.762459912372148,-0.627980297939281,-0.560645720837161,-5.841854338088,-0.6431845500259253,-2.487224963852503,2.3237562550585578,32
54,0.32627277374267577,0.2282201128776041,0.0005999565124511719,0.0004898628820718087,tanh,1e-05,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-3.3730879290964286,-1.540407154560026,-0.479621330659292,-7.6552435171047515,-0.45839936305418455,-2.7013518588949363,2.694698014787791,33
60,0.45670266151428224,0.45333687198294853,0.0008021354675292969,0.0004011031789268506,tanh,0.0001,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-3.251485762365866,-2.3160388517107475,-0.4642628873338529,-7.233531292357446,-0.4830783826136218,-2.749679435276307,2.4861774012090514,34
58,0.9368156433105469,0.5190746924931653,0.0008006572723388671,0.0004003684593634827,tanh,1e-05,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-5.143474886081043,-0.6599028021260569,-0.5892209589245364,-6.065035648038387,-1.5808839393549756,-2.807703646905,2.3283401619138435,35
59,3.2173325538635256,0.8133576363669471,0.0010003089904785157,5.083629800730749e-06,tanh,1e-05,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-6.000634186821755,-0.4063503827603801,-0.9128566561197381,-6.738756204645925,-0.3240381030733113,-2.876527106684222,2.8687918520763196,36
36,0.27526321411132815,0.10461409418482051,0.0009993553161621095,2.1462969655851172e-06,logistic,1e-05,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-3.895134284274511,-1.0113968168461491,-1.1081620623718733,-7.699927488592315,-0.8549166456367658,-2.913907459544323,2.645316622136701,37
63,1.2420806884765625,1.5790062698429501,0.0008007049560546875,0.00040035324473714265,tanh,0.0001,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-5.08367871871746,-0.43195318754777284,-0.23193602017208184,-8.243682188810466,-1.0447768401069193,-3.00720539107094,3.1596708861566842,38
39,0.357280969619751,0.09996975108554283,0.0006003379821777344,0.000490174242284405,logistic,1e-05,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-6.278002005288276,-0.29198411790256484,-1.2854592420177888,-7.596280577128433,-0.36182338395210645,-3.162709865257834,3.1295908893987088,39
69,3.867880439758301,1.1762275275423686,0.0003995418548583984,0.0004893385162138163,tanh,0.001,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-4.883695165852838,-0.33436926145565815,-2.9035179301417693,-7.578669832848649,-1.243820619126488,-3.3888145618850807,2.6059817014057503,40
64,1.422523307800293,1.1632724219345523,0.0008008480072021484,0.00040042418459757293,tanh,0.0001,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-7.079274433006126,-0.42749215604945273,-1.0716796251079537,-7.972846423032887,-0.9036984782626265,-3.490998223091809,3.313456844955165,41
57,0.6927592754364014,0.3729735963994864,0.0009983539581298827,0.00063090341520563,tanh,1e-05,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-8.486964087651586,-0.6066316453650675,-0.5110621505337786,-7.6887425814432,-0.9187594477291909,-3.642431982544564,3.6409359667296015,42
12,0.039009475708007814,0.05452875693986936,0.0006004810333251953,0.0004902910429780095,relu,0.001,"(10,)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-3.7828598082899503,-3.6215916627522873,-5.1379546334711375,-9.28342618290795,-2.1387828531635966,-4.792923028116985,2.4380471831249273,43
