,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
53,7.259850072860718,0.833722298063294,0.0007987022399902344,0.0003993569416361975,logistic,0.001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-3.5986672393610237,-0.6183006618935664,-0.6665131947476632,-0.5217572031851297,-0.7431278083572903,-1.229673221508935,1.186670114822963,1
47,3.4113732814788817,1.5503098950133511,0.000999307632446289,2.026417671287134e-06,logistic,0.0001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-3.3220717203188452,-1.1565251445155946,-0.8546194754547881,-0.6581542355892787,-0.7140479044048341,-1.341083696056668,1.005444118897676,2
37,0.4228964805603027,0.24293956511384565,0.0008019447326660156,0.00040097649164217786,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-3.184503711543717,-1.7371744464406287,-2.357326834704985,-0.11666857062433268,-0.6060934591037913,-1.6003534044834908,1.1217071357669668,3
43,0.6927591323852539,0.13741923930459266,0.0008001327514648438,0.00040007382091555545,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-4.146390240499535,-1.049045038687551,-0.5499910857855963,-0.9930680145391001,-1.298006897616864,-1.607300255425729,1.2922440285373265,4
42,0.3826874256134033,0.10558825962312372,0.0006007671356201172,0.0004905271474296095,logistic,0.0001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-4.630151334830169,-1.1579927644894483,-1.1920485451825398,-0.5772701512117169,-0.5274082086751215,-1.6169742008777988,1.532227187766046,5
48,0.37568678855896,0.035705998128997316,0.0006003856658935546,0.0004902218415903545,logistic,0.001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-5.502699517982679,-0.9103885327671316,-0.5489275080273393,-0.5709226266304274,-0.8472576047449115,-1.6760391580304976,1.9187544122689892,6
68,2.101677179336548,0.4575238141512836,0.0005997657775878906,0.000489706900218693,tanh,0.001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-5.607188857685463,-1.0397772891686705,-0.7844936093818775,-0.49821830900178754,-0.6917753936266338,-1.7242906917728864,1.9492571225963369,7
52,2.396548366546631,0.32635753997684236,0.0006007671356201172,0.00049052436624629,logistic,0.001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-5.875190685529806,-0.7300682177452275,-0.5470888516063551,-0.4465871642228638,-1.1518461624261782,-1.750156216306086,2.076589857204364,8
49,0.8984033584594726,0.23783658728825743,0.0010022640228271485,2.096999495248415e-06,logistic,0.001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-5.61956240974554,-0.9098283590820407,-0.7360608617125843,-0.4431780961845277,-1.13010328906121,-1.7677466031571805,1.9389664729528484,9
51,1.0252333164215088,0.14903190902883034,0.000400543212890625,0.0004905636165544664,logistic,0.001,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-6.179886865402411,-1.2379777268781276,-0.38575642663580056,-0.4800585047257426,-0.7677088440384762,-1.810277673536111,2.2048449062357296,10
