,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,0.028603792190551758,0.0028703694343883354,0.0008005619049072266,0.0004002818435578593,identity,1e-05,"(30, 30)",lbfgs,"{'activation': 'identity', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-2.889195820240598,-4.419310988335966,-2.0979986664722796,-4.354919452917035,-10.76838987400206,-4.9059629603935875,3.0613899320399693,50
28,0.021604633331298827,0.0018547438568483488,0.00039997100830078123,0.0004898624411217046,identity,0.0001,"(30, 30)",lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-2.8891964094992733,-4.41930998917356,-2.0980018182050215,-4.354919471238397,-10.768389284000579,-4.905963394423367,3.0613890813780564,51
0,0.020204687118530275,0.005636108171911832,0.0010001182556152344,8.714517060516867e-07,relu,1e-05,"(10,)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.88918180453123,-4.41930008273583,-2.098021052719146,-4.354928142966266,-10.768391422372703,-4.905964501065035,3.061388298985744,52
6,0.010002374649047852,0.002280541310302949,0.0008003711700439453,0.0007482648654533197,relu,0.0001,"(10,)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.8891821010717154,-4.419300206421215,-2.098021463033807,-4.354928234396842,-10.768390739581585,-4.905964548901032,3.0613879159186257,53
3,0.020005035400390624,0.007773616216138564,0.0,0.0,relu,1e-05,"(10, 10)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-2.889209937186756,-4.4193172181611935,-2.0980132568049346,-4.354900084686407,-10.768389774410855,-4.90596605425003,3.0613858566202943,54
20,0.012807083129882813,0.0014696740178262349,0.0009979248046875,4.8384288383353504e-06,identity,1e-05,"(100,)",lbfgs,"{'activation': 'identity', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.8891997368045934,-4.419318287384297,-2.0980089033131817,-4.354917091063949,-10.768390890890055,-4.905966981891216,3.061387780558131,55
25,0.011201286315917968,0.002134774952201623,0.0008004188537597656,0.0004002094694901353,identity,0.0001,"(30,)",lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.889200399551148,-4.419332705365296,-2.097991028772005,-4.354922490956255,-10.76838998308284,-4.905967321545509,3.0613899717585498,56
26,0.01280369758605957,0.0019385972835762049,0.0005999088287353515,0.000489823793784337,identity,0.0001,"(100,)",lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.8892003377650295,-4.4193156791806505,-2.0980126096699876,-4.354919075279326,-10.768390462772436,-4.9059676329334865,3.0613868689968897,57
9,0.021605539321899413,0.004800353641243928,0.000799560546875,0.0003997822924828686,relu,0.0001,"(10, 10)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-2.889220182458288,-4.419317072712105,-2.098023670777355,-4.354905365656561,-10.768386044778943,-4.90597046727665,3.0613809824748013,58
18,0.016202592849731447,0.010423122780641367,0.00059967041015625,0.0004896299540860276,identity,1e-05,"(10,)",lbfgs,"{'activation': 'identity', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.889209853815182,-4.419318262584534,-2.0980116274511666,-4.354921179516519,-10.76839182060051,-4.905970548793582,3.061386157541832,59
