,Laser Power [W],Average Interlayertemperature [°C],Hatch Distance [mm],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),5.39559407850677,3.7510612423160996,2.928010609915567,2.6660982028884654,-0.5032250305552353
MPI Standart Derivation,3.581997410813315,3.263942912258383,1.6752502553949198,1.8529065173468946,0.38492536683325446
