,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),3.269427843651057,1.822276349416055,1.5328841790423906,1.5065102521789684,0.3149003580886817
MPI Standart Derivation,1.8707768311878408,0.5225094402797819,0.36956335791723033,0.43013295627644155,0.1977803266331092
