,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.5205635778869313,0.15884086595917876,0.08638000422172812,0.06020805500880643,-0.029296261875901577
MPI Standart Derivation,2.9127142559257666,0.2218738574679215,0.03938588547640798,0.03989096256360971,0.04703355163923255
