,Scan Speed [mm/s],Laser Power [W],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),0.6974738422981678,0.6339415022534084,0.4958438054255432,0.40864673719152717,0.2221626803223254
MPI Standart Derivation,0.3097501251520149,0.22936460574080175,0.2230973816505244,0.18152356458797805,0.13494709599198232
