,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),3.6680026056732746,1.2973445216994708,1.0070996810657973,0.9756807782459496,0.35674440501759186
MPI Standart Derivation,1.7355043764294493,0.8800639714414112,1.017568792688015,1.1475399540070237,0.3156279575745446
