,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),2.91042647182419,0.6906454592864771,0.6042415971598583,0.3563156853967938,-0.5021743532228747
MPI Standart Derivation,2.145748139070957,1.1655767737479086,0.7014259138276175,0.7639964671823484,0.6491889323884397
