,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),0.9039895080970116,0.4837109693019571,0.4506775228850829,0.18756096315075638,0.0026621336700725492
MPI Standart Derivation,0.6745839968580064,0.3667037697226265,0.20011378452149972,0.13630365117542614,0.11791593578376375
