,Laser Power [W],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C],Scan Speed [mm/s]
Mean Permutation Importance (MPI),5.087332409313174,1.0705499341452211,0.8811712717078322,0.7802079670235761,0.6023174725750906
MPI Standart Derivation,1.9310824774943227,0.8636449290843727,0.6420822875584873,0.4212812794162951,0.3052532744190003
