,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),3.0219958440251515,1.4227211857390596,1.1888411488658652,0.7345706159996725,0.36034063019373114
MPI Standart Derivation,2.82261838030299,0.7100680996980905,0.5550712836311577,0.3504038263413196,0.22110176053282204
