,Hatch Distance [mm],Scan Speed [mm/s],Laser Power [W],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),1.799828583568153,1.4692973320684832,1.2329181572187708,0.030505884763859507,0.010446639307334889
MPI Standart Derivation,1.5650539417170772,1.3235742056475497,0.9388861881927628,0.10875643734722196,0.20328664774227745
