,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),5.16054616099133,1.784044449813616,0.9602037714750391,0.6032732149287375,0.4807826056518072
MPI Standart Derivation,2.326227254359482,1.829043986221498,0.8628821519752967,0.5373061874903544,0.31434427680668764
