,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),4.509475712272714,3.584307328420098,2.127264313330418,0.6615964735933628,0.45163178788732555
MPI Standart Derivation,2.4032619110732205,1.8151720149314137,1.0819689693907326,1.370273009684128,0.999125756768228
