,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),1.7168764192856176,0.9610820463328693,0.4156060941539984,0.3085292502996795,0.20397172247650597
MPI Standart Derivation,2.07806830455003,1.0105816669935592,0.5192175396547456,0.2445665771091738,0.1151690194818532
