,Laser Power [W],Average Interlayertemperature [°C],Duration [s],Hatch Distance [mm],Scan Speed [mm/s]
Mean Permutation Importance (MPI),0.6155280265163359,0.4262486967460171,0.3927929076358006,0.2641505433474148,0.16980941576830577
MPI Standart Derivation,0.3762430489628137,0.05816721864655635,0.1693267266608943,0.15226961917405682,0.11365300110395317
