,Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),2.4002112390499986,0.10435483988985221,0.09234114338669616,-0.007582094178952977,-0.08187304297062169
MPI Standart Derivation,2.995151551033101,0.12018063215894337,0.11007534010919645,0.148087086031496,0.2073996721437406
