,Hatch Distance [mm],Scan Speed [mm/s],Laser Power [W],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),3.1323899657149985,3.0981393185853077,2.770085132087107,0.5103594722093941,0.28872594523999623
MPI Standart Derivation,0.8623625142388761,1.9992669259412965,0.8998135252105615,0.20046806643855322,0.2122663872723363
