,Scan Speed [mm/s],Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),1.7473956833313145,1.653065693851814,1.536295481281065,1.0152350135713406,0.08106298225357494
MPI Standart Derivation,1.906168260543259,0.5993857810323022,1.4039972680800301,0.5879422106715425,0.2487319159522436
