,Scan Speed [mm/s],Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.9766185588102454,2.4600153929267674,1.8552621520430035,0.8963879466006789,-0.10379455256375411
MPI Standart Derivation,2.0245181947929396,1.247496457599531,0.866744989067882,0.5425379530129963,0.1813658349893669
