,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),1.5659859011116404,-0.03502316025061204,-0.03564879945749275,-0.049269246462982,-0.057188245207376275
MPI Standart Derivation,0.8397386969254302,0.22579716366094255,0.14772308173590218,0.0984651600127143,0.08370462401107974
