,Laser Power [W],Average Interlayertemperature [°C],Hatch Distance [mm],Duration [s],Scan Speed [mm/s]
Mean Permutation Importance (MPI),1.4087658292880467,0.8453516692710025,0.7882722354623254,0.6432707691369903,0.6057935662959026
MPI Standart Derivation,0.5487894620576139,0.4276107594197222,0.934402299769597,0.6173926242479998,0.6380611121781737
