,Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s],Scan Speed [mm/s]
Mean Permutation Importance (MPI),4.170304763044552,2.116468365236287,2.1021411629939086,1.0583703680745802,0.9967032353070795
MPI Standart Derivation,2.146612512471219,1.8742306004847948,0.8387659011937607,0.9927189935528852,0.27752615504171513
