,Average Interlayertemperature [°C],Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),3.764771069617889,2.1026830736115394,0.7934906090709734,0.030551316380634227,-0.23869745036094542
MPI Standart Derivation,1.5331779707782822,1.6554597737885595,0.42853130540851847,0.4261663210225534,0.6756236693987747
