,Duration [s],Laser Power [W],Average Interlayertemperature [°C],Hatch Distance [mm],Scan Speed [mm/s]
Mean Permutation Importance (MPI),3.1669618568435998,0.5801691291599237,-0.1174399407850851,-0.21019406741354374,-0.22651115275425496
MPI Standart Derivation,3.7390189806266685,0.27738822439925576,0.09237164737829993,0.15346455690050886,0.0872469255532025
