,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),2.7557398755343003,0.7244534225763977,0.6121476758797555,0.5376781526897977,-0.024829314602533674
MPI Standart Derivation,1.7353362692307102,0.6070010481703968,1.0689621565611476,0.8381418682470065,0.045635359361762794
