,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),1.3063671647938102,0.5609112538400323,0.418452611571515,0.3933664977942936,0.37906387239946054
MPI Standart Derivation,1.8340970404650974,0.26240514319512814,0.5993143540318534,0.15818466826357808,0.43713419974851303
