,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),3.280704354799809,0.5806964979502366,0.5492600416023342,-0.5024550191351025,-1.0037939137905973
MPI Standart Derivation,2.8535696206184085,0.7431535167012607,0.4675387252510431,0.3188361456269303,0.3331977530717409
