,Laser Power [W],Duration [s],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm]
Mean Permutation Importance (MPI),3.466244587083069,2.464638268474515,1.7339116356735027,0.05769960077160006,0.05527676202304648
MPI Standart Derivation,1.6429840576051304,1.931183749087547,1.5774587240933906,0.058648274537716295,0.03255608688073092
