,Laser Power [W],Duration [s],Scan Speed [mm/s],Average Interlayertemperature [°C],Hatch Distance [mm]
Mean Permutation Importance (MPI),1.4200568888015346,-0.4187406883244196,-0.7310019619144464,-1.1081994260477173,-1.4379314506757654
MPI Standart Derivation,1.725156097609224,1.1942881949581485,1.1791084683237005,1.080823671988975,1.1636714432634523
