,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),2.4242696825257024,1.9899744483543675,1.2845035039168209,0.7942846673435042,0.7453359851689598
MPI Standart Derivation,1.028113017942536,1.3104541772656284,1.174286923918619,0.6750710562525875,0.5248266158251758
