,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.2524145531628816,1.9705222487589227,1.3802462121318793,1.245576250635206,0.1634985989222906
MPI Standart Derivation,0.9053535085434786,1.6499054338928265,0.7414432540890273,0.6495322378429778,0.1754681753879641
