,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),2.046522346773709,0.2848980190428561,0.23100689776912156,0.06146712054940248,0.022136918985431457
MPI Standart Derivation,1.2828770505812093,0.4790467359177055,0.3197774281151127,0.22936349399713882,0.19372541976975344
