,Laser Power [W],Scan Speed [mm/s],Duration [s],Hatch Distance [mm],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),8.439317664072888,3.6121840413326707,3.1379415786463567,2.913532955404337,1.4767451167551615
MPI Standart Derivation,2.264120970522456,2.685156341144089,2.515084602225448,1.9468009924256573,0.793159499247572
