,Laser Power [W],Scan Speed [mm/s],Average Interlayertemperature [°C],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),4.824039033964123,3.1192114372141764,2.9852182898057937,1.881720750938073,0.5827459479817203
MPI Standart Derivation,4.988484257691521,3.6430812891346966,2.901169613389914,1.6181476190689494,0.4995448429193177
