,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.043298045292682,1.4822741298732383,1.1011074464463566,0.6550370192722853,0.5886597353009004
MPI Standart Derivation,1.141521495159182,1.3995329250265394,0.863111618918715,0.5512834035977913,0.6285842264067198
