,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),6.098093300646698,4.193754797312306,4.189976597300498,2.204442602470277,0.4017350984769627
MPI Standart Derivation,2.651665057197658,2.1233239111199946,3.2765734478022845,2.0042704278283305,0.47890670724754864
