,Laser Power [W],Duration [s],Hatch Distance [mm],Average Interlayertemperature [°C],Scan Speed [mm/s]
Mean Permutation Importance (MPI),2.334989376118107,1.1543770988029352,0.7557768795619678,0.5645586488406326,-0.18950221796981784
MPI Standart Derivation,0.9183231173015995,1.2212824434104717,0.4667425034400056,0.528997027704409,0.4049532699170986
