,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),4.519792568601679,2.1842264954109125,1.6681467124032003,1.4210298317954784,-0.14353953134029748
MPI Standart Derivation,2.111944339426013,1.6813760658550978,1.177877296807869,1.8210501968510808,0.09066188163191828
