,Laser Power [W],Duration [s],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),4.19206855546808,2.3712688675062092,2.267374449471881,2.1656331591728537,1.297060337203027
MPI Standart Derivation,3.512264440856994,0.8810393838286317,1.4986995226610977,0.7374593802578598,0.9509041843992864
