,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),1.8578960498102133,1.0212731679871399,0.8687933610544385,0.13247725288741882,0.047762511287514055
MPI Standart Derivation,1.5408721349891792,0.9837824619272435,0.4301933576607683,0.21249277738287028,0.10427853912071074
