,Scan Speed [mm/s],Duration [s],Hatch Distance [mm],Laser Power [W],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),5.822229123111654,5.313394382640335,1.9768841453330281,1.8515495409421125,-0.09682928529797435
MPI Standart Derivation,4.41711251266867,4.453970723437696,2.4572204255847545,2.613338006864768,0.10888918749608259
