,Laser Power [W],Scan Speed [mm/s],Average Interlayertemperature [°C],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),7.795527922971541,6.468448316726424,4.908574101104453,4.428447530066067,2.898087699053776
MPI Standart Derivation,2.9034480857656195,3.187029860950943,2.4450590581294285,2.3444691869865957,1.13179481137981
