,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),5.1950375230122665,3.787683955641886,1.1001481266568822,0.6367177174332977,0.27393547764929205
MPI Standart Derivation,3.9415915220176903,1.9442451815410315,1.1598190913946842,0.3348196999352007,0.1482247403506213
