,Laser Power [W],Duration [s],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm]
Mean Permutation Importance (MPI),1.9636935041385128,1.778306205098628,0.6305505829476331,-0.4437517411054204,-0.7571096780459606
MPI Standart Derivation,1.614092925427158,1.2496187980509819,0.5941356923217455,0.36715724448137993,0.5787924473522733
