,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),9.43427266890398,6.204559096291922,3.4852964123561048,1.3622328945474786,0.9443052348035023
MPI Standart Derivation,3.0916505534797443,3.899701365902146,3.8496606818859185,0.6202584607964698,1.8295881738264514
