,Average Interlayertemperature [°C],Duration [s],Hatch Distance [mm],Laser Power [W],Scan Speed [mm/s]
Mean Permutation Importance (MPI),8.700236831581286,4.378643182209566,3.008756827352996,2.1731549360915725,2.090188090057244
MPI Standart Derivation,1.9778753961182967,1.8879311767981906,2.1786831764837227,1.9950689940609674,2.1092714176480483
