,Laser Power [W],Average Interlayertemperature [°C],Duration [s],Hatch Distance [mm],Scan Speed [mm/s]
Mean Permutation Importance (MPI),3.3870184905374017,3.09380114643361,2.136475604503947,1.7451345919427814,1.0243555625802023
MPI Standart Derivation,0.8811037926371176,2.0769235217116195,0.652331342101138,1.3865496785892124,1.312317745442717
