,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,0.9812221050262451,0.3593210731564238,0.0010006427764892578,2.384185791015625e-06,tanh,1e-05,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-3.954282991822123,-0.5776641054680831,-2.932126500599493,-0.4711883866096989,-1.0213299915024265,-1.7913183952003648,1.3991741203995975,1
38,1.551152753829956,0.9721606581253397,0.0006010532379150391,0.0004907586164014347,logistic,1e-05,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-5.144534296604231,-0.7025859439861719,-2.0834047870079972,-0.7616391724603941,-0.771703785677462,-1.8927735971472512,1.7066398070898454,2
61,1.1262592792510986,0.3755712913997463,0.0006008625030517578,0.0004906134489821543,tanh,0.0001,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-5.460961747512567,-0.16889312325743416,-3.1639167691170127,-0.6318331106060213,-0.6239470966087544,-2.009910369420358,2.0224154869999476,3
37,0.36408348083496095,0.1359504606126234,0.0006002426147460937,0.0004900964834072319,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-5.159186324632525,-0.2721261897743057,-3.8546276287747743,-0.5869021478082599,-0.7989804963200421,-2.134364557461981,1.9876958517742374,4
71,10.413760375976562,1.2036601232861086,0.00060272216796875,0.0004921300223847156,tanh,0.001,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-5.979622212661489,-0.2695167124680295,-3.355785862316896,-0.6455421491059944,-0.5075077339891285,-2.1515949341083074,2.2188873239580564,5
43,0.9380126953125,0.1355560904669833,0.0004004955291748047,0.0004905049902315545,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-6.254864542758552,-0.3583656192681191,-2.436802340208601,-0.8981541242940526,-0.8650698287672121,-2.162651291059307,2.1614571759165155,6
68,1.8786237239837646,0.3743530306453518,0.0004000663757324219,0.0004899796131324178,tanh,0.001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-6.395656270348682,-0.6204475679904098,-2.581265553296786,-0.710177969878552,-0.6662096264984595,-2.1947513976025776,2.227816226651556,7
50,1.7706018447875977,0.6893483486228543,0.0008012294769287109,0.00040063126481752217,logistic,0.001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-6.062632949301421,-0.7223994097214774,-2.9348262160002516,-0.8200401027205526,-0.5780673898515353,-2.2235932135190475,2.1059619124990565,8
62,2.242909240722656,0.43081934816361384,0.0007998943328857422,0.00039995158302495043,tanh,0.0001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-6.128615234496656,-0.7131846203482566,-2.870935220820653,-0.8385619246412613,-0.6552362022326542,-2.2413066405078963,2.1131052664552556,9
55,0.8401897430419922,0.27512323885100654,0.0009982585906982422,1.5886622666318589e-06,tanh,1e-05,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-3.94863334734932,-0.36424212704849523,-2.7131729486490714,-2.0071657362182638,-2.185081106196684,-2.2436590530923666,1.159219486455145,10
