,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.12962827682495118,0.0957123793070034,0.0004002571105957031,0.000490214721933565,relu,0.0001,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.0438276272802642,-2.559144809995936,-2.817633916184216,-3.3924170547628596,-1.4452551690090034,-2.251655715446456,0.8746825517996785,1
7,0.01880502700805664,0.013001726319033539,0.00039987564086914064,0.0004897456635623499,relu,0.0001,"(30,)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.084198400872643,-3.350007350504615,-3.3170985736813403,-1.8744990500375853,-2.2275286231516596,-2.3706663996495685,0.869081461293822,2
1,0.01940445899963379,0.013576706601363007,0.00040001869201660155,0.0004899208473093903,relu,1e-05,"(30,)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.0840350603784503,-3.3500080977663487,-3.3171039446165596,-1.9400403911501345,-2.227528433453584,-2.3837431854730156,0.8620146885423138,3
16,0.19364385604858397,0.1762177091603058,0.0009996414184570313,1.0704967651674103e-06,relu,0.001,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.0710784187863318,-3.336468239857193,-2.8175669891523034,-3.417292812396341,-1.4452165625274238,-2.4175246045439187,0.9759434454423563,4
0,0.024199962615966797,0.007628850339316444,0.00020008087158203126,0.0004001617431640625,relu,1e-05,"(10,)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.083939329891777,-3.421246262597439,-3.0673024663155557,-2.140582071593689,-2.377583011974463,-2.418130628474585,0.8107291511117763,5
6,0.026406526565551758,0.008733350427734932,0.00019974708557128905,0.0003994941711425781,relu,0.0001,"(10,)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.0839645700604446,-3.4206202799792753,-3.0672881957153155,-2.1446863244276333,-2.377595106066783,-2.4188308952498905,0.8102842197684754,6
12,0.06221418380737305,0.06388546441244544,0.0004005908966064453,0.0004906226251608383,relu,0.001,"(10,)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.0948959925999053,-3.4215431562695393,-3.062349386701009,-2.1436557322937553,-2.3775552452573536,-2.4199999026243124,0.8061972178558445,7
4,0.09882378578186035,0.05297423409709495,0.0006002426147460937,0.0007999662901324906,relu,1e-05,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.0439564408453963,-2.552080189670147,-2.818117595001977,-3.3800430082656163,-2.352730516363029,-2.429385550029233,0.7739775178964893,8
33,0.3434764385223389,0.1723430253510139,0.0006003379821777344,0.0004901745206021027,identity,0.001,"(10, 10)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.4722165104135225,-3.3499622089549654,-3.3170632141500827,-1.8415585860064905,-2.227523952086795,-2.441664894322371,0.7664385590001974,9
32,0.22925190925598143,0.148976461953628,0.0006005764007568359,0.0004903711357603641,identity,0.001,"(100,)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.4722481916749643,-3.349921971911897,-3.317114371844658,-1.8415117853899445,-2.227531049467019,-2.4416654740576966,0.7664396268108002,10
35,2.519374370574951,0.8499998580225767,0.0007974147796630859,0.00039871162055198664,identity,0.001,"(100, 100)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.472185190923332,-3.349866173365872,-3.3171128826877716,-1.841665623472075,-2.227522140626046,-2.4416704022150193,0.7664184082760295,11
34,0.47050766944885253,0.27035417009917895,0.00019989013671875,0.0003997802734375,identity,0.001,"(30, 30)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.4721803762034473,-3.3499405166439344,-3.317106279898164,-1.8416363745701012,-2.227526978047162,-2.4416781050725618,0.766440046890158,12
20,0.010402059555053711,0.0010212450884158324,0.00040078163146972656,0.0004908559483093505,identity,1e-05,"(100,)",lbfgs,"{'activation': 'identity', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.4721853329762384,-3.3499589940529644,-3.3171039759269103,-1.8416418829388346,-2.2275348761764753,-2.4416850124142844,0.7664413420361846,13
26,0.011604499816894532,0.0027969562114020627,0.0005975246429443359,0.00048791898014088886,identity,0.0001,"(100,)",lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.472187389142585,-3.349958099772249,-3.3171027348584126,-1.841642833091645,-2.2275347787161324,-2.441685167116205,0.7664401830640959,14
