,y_train,y_train_pre,y_test,y_test_pre
0,99.9,99.89094399339957,99.9,99.99941038410627
1,100.0,99.89290578701585,99.4,99.21215643639529
2,99.9,99.8684193802957,99.8,99.95581375001643
3,99.9,99.90161352223943,99.7,99.52786114180223
4,97.6,97.59965365503065,99.5,99.8404760020738
5,99.9,99.89099287373854,96.9,96.08660951260559
6,99.9,99.902672136493,99.9,99.77166908459735
7,99.6,99.56181398442642,99.9,100.17952511040629
8,99.9,99.88926582293765,99.3,101.15385004845122
9,97.8,97.79986891508132,99.9,100.00826030286287
10,100.0,99.9583886599913,98.0,96.37435987295838
11,97.8,97.80381459062245,,
12,98.9,98.92972330371926,,
13,65.5,65.50344823347939,,
14,96.8,96.78606565422065,,
15,99.8,99.88754827087577,,
16,99.9,99.85615436689604,,
17,99.9,99.90961633709331,,
18,100.0,99.8843612269364,,
19,99.8,99.81252219191161,,
20,99.8,99.91066539593702,,
21,99.8,99.8306233560864,,
22,92.5,92.50914589633625,,
23,99.8,99.8505771753661,,
24,99.9,99.88071196168607,,
25,99.3,99.27314135082177,,
26,97.9,97.88887547208482,,
27,99.7,99.88646030256558,,
28,99.7,99.64307694090978,,
29,97.4,97.41229683438114,,
30,99.7,99.80789790589762,,
31,99.9,99.88383254782171,,
32,100.0,99.91036860738716,,
33,95.4,95.40558124367202,,
34,99.8,99.7899499534446,,
35,99.9,99.91980264000402,,
36,99.4,99.41935926321067,,
37,100.0,99.8882139564926,,
38,87.0,86.99409819868812,,
39,99.4,99.39718887589444,,
40,87.3,87.294351699788,,
41,99.8,99.86952957074311,,
42,99.5,99.50543084464618,,
