,y_train,y_train_pre,y_test,y_test_pre
0,99.9,99.9028748853668,99.8,99.84119282473753
1,99.8,99.80011146737613,99.9,99.89462548648814
2,87.3,87.29649486749602,99.9,99.83758233999811
3,99.8,99.82814751820175,100.0,99.84907714018135
4,100.0,99.98007690705512,99.8,99.81908122379687
5,97.8,97.79762192013158,99.9,99.25675147530384
6,99.7,99.83959092076154,100.0,99.84729338993749
7,98.0,97.99244367066692,99.9,99.84520790036007
8,99.9,99.91475825824715,99.5,98.25238168342749
9,96.8,96.80623643752081,99.3,99.73371456592429
10,99.7,99.83730708571375,99.9,99.8594462187256
11,99.3,99.29887197075466,,
12,99.8,99.8247492964532,,
13,99.4,99.40859007746269,,
14,65.5,65.49868473078308,,
15,99.9,99.8471526917787,,
16,100.0,100.01801748861561,,
17,99.8,99.73886599334344,,
18,99.9,99.85540056346312,,
19,99.9,99.90535417637003,,
20,92.5,92.4998715740977,,
21,97.9,97.92095283251223,,
22,97.8,97.78068439674121,,
23,98.9,98.8988215189414,,
24,99.4,99.40627699547926,,
25,99.8,99.83739586886881,,
26,99.9,99.84459671710582,,
27,97.6,97.59859935630011,,
28,96.9,96.90265183111212,,
29,99.9,99.87413760228,,
30,99.7,99.72824733053064,,
31,99.9,99.85629163216845,,
32,99.9,99.83743712683398,,
33,99.5,99.5030239232095,,
34,97.4,97.40241396621414,,
35,100.0,99.83961199138147,,
36,99.6,99.60487554429798,,
37,99.7,99.83466666746432,,
38,95.4,95.39875004102993,,
39,99.8,99.82378939543212,,
40,99.9,99.83103478282763,,
41,99.4,99.38048178728057,,
42,87.0,87.00336697147235,,
