,y_train,y_train_pre,y_test,y_test_pre
0,99.4,99.39548101400064,99.9,99.874081245656
1,96.8,96.79929284728735,99.7,100.11635930289205
2,99.7,99.70225532573312,99.8,99.80121428792465
3,99.9,99.89347356779712,99.8,99.89832246907545
4,97.8,97.80065738853052,99.9,99.94764946453331
5,100.0,100.03655693442732,96.9,96.89516146442332
6,99.9,99.90275456294853,99.9,99.88419346938743
7,99.6,99.61691950106918,99.8,99.81318023611351
8,99.9,99.89573169723434,99.8,99.8630535876029
9,99.9,99.91018259577926,100.0,99.73624911564603
10,97.8,97.79924067735335,99.9,99.88975543073832
11,99.5,99.49122371373987,,
12,99.8,99.76949189669024,,
13,99.4,99.40777310411067,,
14,98.9,98.89228211579467,,
15,87.3,87.30051001258451,,
16,87.0,86.99918714892186,,
17,99.5,99.50149879264357,,
18,99.7,99.68492000970198,,
19,97.4,97.40209996654104,,
20,95.4,95.4013234916218,,
21,99.7,99.71216482981521,,
22,99.8,99.81489307106683,,
23,99.9,99.8747531269783,,
24,92.5,92.50286943567467,,
25,97.6,97.59725016523254,,
26,99.3,99.2956561164491,,
27,99.8,99.7892549884011,,
28,98.0,97.99849958473334,,
29,100.0,99.99442015996229,,
30,99.9,99.9105277876526,,
31,99.9,99.89492822406478,,
32,97.9,97.9097006352163,,
33,100.0,99.99427417899693,,
34,99.9,99.92400350266053,,
35,99.4,99.38896517244743,,
36,99.3,99.30060551552796,,
37,99.8,99.80665502323646,,
38,99.9,99.90759979700553,,
39,100.0,100.00176611331891,,
40,99.9,99.89486392482135,,
41,99.9,99.88408935380946,,
42,65.5,65.50073163871552,,
