,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,6.848754405975342,2.548485257583682,0.0008002281188964844,0.00040011924489797825,tanh,0.0001,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.1912328624642337,-3.4617100338427202,-0.9872418583630588,-0.23555597968826464,-0.80329163464651,-1.3358064738009574,1.1095934364030335,1
39,0.6241409301757812,0.19883106419429739,0.0006000041961669922,0.0004899050025809001,logistic,1e-05,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.7806362730583398,-3.422446540083312,-1.4827433094884772,-0.2635040501166109,-0.5233768750716655,-1.494541409563681,1.1186975633992269,2
59,5.060149002075195,2.291232919186007,0.0008010387420654297,0.00040051994937369246,tanh,1e-05,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-0.6967238206612905,-5.261693269870342,-0.8448622643077659,-0.5269669529197694,-1.047484935475194,-1.6755462486468722,1.8012370802796032,3
56,0.9736227035522461,0.2293766330081722,0.0006001472473144531,0.0004900204336656291,tanh,1e-05,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.1076041494866289,-3.294691200766351,-3.892200913948953,-0.23290689365751943,-1.0663649100657104,-1.9187536135850323,1.4152249015062466,4
38,0.620737886428833,0.32308454121601754,0.0008005619049072266,0.000400281303925246,logistic,1e-05,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-0.6493514793940494,-5.9044996549508895,-1.8347083564629643,-0.23536701330040014,-0.9813417353264172,-1.9210536478869442,2.05995737405055,5
47,4.770883846282959,1.56170504589336,0.001000833511352539,2.4239091924932164e-06,logistic,0.0001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.1601911018540523,-4.865407417371547,-2.3566255961385525,-0.5457190574629535,-0.8676419060049771,-1.9591170157664166,1.5768215681945394,6
37,0.4413004398345947,0.1401253326896322,0.0005996227264404297,0.0004895919107126883,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.2615832904288113,-4.712868911687849,-2.6464443687244277,-0.6770281811526274,-0.6770458123740539,-1.9949941128735538,1.537734971464434,7
43,0.7301642894744873,0.14738629993795538,0.0005996227264404297,0.0004895905174666359,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-0.6798040867222277,-5.693874906714894,-2.7805632206464486,-0.23081316444311034,-0.6290595618309172,-2.00282298807152,2.0497008520818856,8
5,4.401997709274292,2.1832435158879377,0.0006009101867675781,0.000490645430465677,relu,1e-05,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.2661428215432933,-4.503117860850964,-3.1677545531216484,-0.4958265916525401,-0.6814628626964209,-2.2228609379729733,1.513461235682225,9
71,9.521557807922363,2.446147860244387,0.0008000373840332031,0.00040001887674903766,tanh,0.001,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-0.563567630752525,-5.755321876464383,-3.5461450434664816,-0.24238038856911454,-1.0178133518410586,-2.2250456582187126,2.114570141262878,10
