,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,0.551927900314331,0.10162065430419498,0.0005989551544189453,0.000489047927514845,logistic,1e-05,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.3085275402692604,-0.8914477309488651,-0.4905246742946677,-4.15160926768783,-0.8222857422702252,-1.5328789910941698,1.3349877290486134,1
38,0.6973576545715332,0.2310869680022146,0.0008002281188964844,0.00040011498288941474,logistic,1e-05,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.6917201677423739,-2.4015790637111887,-0.2990952055099213,-3.20690264155203,-0.7734579929287955,-1.674551014288862,1.0564860045547946,2
37,0.28026385307312013,0.0604434342075747,0.0008011817932128906,0.0004005938622830661,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.746556016689425,-1.603368393578382,-0.1552718635887064,-3.2554929926012686,-1.0417186417752493,-1.7604815816466062,1.1247581844000658,3
41,2.044662284851074,1.1526225025953531,0.0006017208099365235,0.000491310165004591,logistic,1e-05,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.615544836709901,-1.1467287541944122,-0.39495054271099234,-4.738993411104777,-0.911069884569714,-1.7614574858579595,1.539831315368222,4
58,1.6715829849243165,0.8227011797606721,0.0007997035980224609,0.00039985652939778616,tanh,1e-05,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.96126653305738,-1.0046099024635384,-0.3227450065308876,-6.227311589705362,-0.9265606491922972,-1.8884987361898928,2.1837227677478124,5
43,0.5777314186096192,0.1548823830797632,0.0010010719299316407,1.0160100818949946e-06,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.444201897978291,-1.319292551798197,-0.3481865317546592,-5.3072493928681395,-0.731494094920302,-2.0300848938639176,1.785029185404897,6
46,1.2430832386016846,0.4562452729094765,0.0006011009216308593,0.0004907975653790874,logistic,0.0001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.5515779779567251,-0.9984704288829969,-0.6233361033095282,-6.536056611378017,-0.5267530592684959,-2.0472388361591523,2.2730796672320475,7
47,2.870050287246704,0.6696123650438002,0.0009975433349609375,2.4031835877140335e-06,logistic,0.0001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.075323414515853,-1.222791583183687,-0.5947291793655478,-5.922175996462259,-0.7641676013379239,-2.115837554973054,1.97120101402003,8
53,5.24399151802063,0.8647951365171148,0.0008007049560546875,0.00040035872524961223,logistic,0.001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.6905946750417553,-0.22177391773338082,-0.3146433356649779,-6.660699651284479,-0.7676847841527255,-2.1310792727754637,2.434512240380116,9
50,1.2558819770812988,0.11294642765819153,0.0008002281188964844,0.00040011432937742076,logistic,0.001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.77106304436051,-1.7315342580664437,-0.23372834870934578,-5.962903274922188,-1.0129133502512027,-2.3424284552619383,1.9939400093663484,10
