,y_train,y_train_pre,y_test,y_test_pre
0,99.7,99.81056088764393,99.9,99.93367333209589
1,95.4,95.40030790319327,99.7,99.89305983204937
2,100.0,99.91825175509848,99.8,99.78021928878557
3,99.9,99.9600951311913,98.9,97.9885688877921
4,99.4,99.38565608636135,96.9,98.94003335987503
5,99.3,99.31526281701564,87.0,83.99888252223283
6,97.8,97.79533765306921,100.0,99.90066691646844
7,99.9,99.90519807598923,99.6,99.77494209409934
8,65.5,65.5010045450087,99.4,98.22923068452099
9,98.0,97.99714344544473,99.9,99.96153015964597
10,99.7,99.79265864364723,99.9,99.95818698618315
11,99.8,99.81502980683831,,
12,99.9,99.9487774195387,,
13,99.9,99.95424425475477,,
14,99.7,99.68693039709831,,
15,99.5,99.50523409500161,,
16,99.9,99.88985640816492,,
17,100.0,99.96079847928952,,
18,99.9,99.93847616126314,,
19,99.9,99.86887330016881,,
20,99.9,99.88370399682823,,
21,99.9,99.87810347675384,,
22,100.0,99.95527671966883,,
23,99.9,99.91447482067093,,
24,99.5,99.50361115941007,,
25,99.9,99.75869850510689,,
26,99.8,99.80135318785337,,
27,92.5,92.4969125513461,,
28,97.6,97.59687801988275,,
29,99.8,99.80107877376415,,
30,99.8,99.78826739350123,,
31,99.3,99.32930746259035,,
32,96.8,96.79802683058942,,
33,97.8,97.78776848072572,,
34,99.4,99.39677380335046,,
35,100.0,99.92206760627441,,
36,99.9,99.92921832426904,,
37,99.8,99.78839673978884,,
38,97.4,97.40123019943437,,
39,99.8,99.78767350672625,,
40,99.8,99.81659761041692,,
41,97.9,97.91065154406344,,
42,87.3,87.30152912573062,,
