,y_train,y_train_pre,y_test,y_test_pre
0,99.7,99.70082540676468,65.5,80.54052336544531
1,100.0,99.98599180032635,99.7,99.87528643761665
2,99.9,99.90334134142577,99.8,99.55363297864513
3,98.9,98.89075031091843,99.9,99.98317010413547
4,95.4,95.40062376416343,99.7,99.9565452674584
5,99.4,99.4128946366939,99.9,99.79349769347188
6,99.8,99.79875052866204,99.3,99.79425201053654
7,96.9,96.89599908121976,96.8,95.89622681949004
8,99.9,99.85113974379142,99.9,100.6564969988274
9,99.4,99.39076007758284,99.9,99.98724673433668
10,99.4,99.40250657707897,92.5,87.37702890465539
11,99.8,99.79935951342384,,
12,97.8,97.80314954659518,,
13,100.0,99.99380840428246,,
14,99.6,99.59573380564599,,
15,97.4,97.40227802574428,,
16,97.9,97.91344217510517,,
17,99.5,99.50026761127607,,
18,87.3,87.29838391426263,,
19,99.9,99.89225264735317,,
20,99.5,99.49677825352045,,
21,99.9,99.90433543672144,,
22,98.0,97.99494231261845,,
23,99.9,99.89524103735526,,
24,97.8,97.79284688786328,,
25,99.8,99.79805452429339,,
26,87.0,87.00243715979151,,
27,99.9,99.91934364779269,,
28,99.9,99.9264472461327,,
29,99.8,99.79839114978012,,
30,99.8,99.82156489175203,,
31,99.9,99.8956609579508,,
32,99.9,99.90815317408254,,
33,100.0,100.0087516018995,,
34,99.9,99.89848579641873,,
35,100.0,99.99239078237825,,
36,99.9,99.90094922920433,,
37,100.0,100.01609882682511,,
38,99.8,99.7875690342441,,
39,97.6,97.59902223970936,,
40,99.7,99.70710801949785,,
41,99.8,99.80283229878218,,
42,99.3,99.29844195392587,,
