,y_train,y_train_pre,y_test,y_test_pre
0,98.0,97.99914868147047,99.8,99.84452678735471
1,99.6,99.58292031398014,99.9,99.9301381772271
2,99.9,99.88512203949142,99.8,99.63470977051199
3,99.7,99.67839758482907,99.9,99.92133787549074
4,99.9,99.88411328042363,99.8,99.71735236838643
5,99.9,99.87452263248534,100.0,99.99838953407908
6,99.8,99.67041073491973,99.9,100.17490241240947
7,97.6,97.60095934917263,100.0,99.9185649771168
8,87.3,87.29722434275345,99.9,99.9474227226095
9,99.4,99.36217498786769,97.4,98.53702471301162
10,96.8,96.80880069824613,99.5,99.81905085725754
11,100.0,99.95002471802653,,
12,99.9,99.895004387603,,
13,99.9,99.94020121776015,,
14,99.9,99.94695375332026,,
15,97.9,97.96794747275968,,
16,99.4,99.36124616705462,,
17,99.8,99.82933188478677,,
18,99.9,99.80593457082045,,
19,97.8,97.7420163538383,,
20,100.0,99.9821118089965,,
21,99.3,99.4993189322004,,
22,99.7,99.80945022036369,,
23,99.9,99.97855847251171,,
24,99.5,99.4955564608313,,
25,95.4,95.39967713558221,,
26,99.3,99.30512420518187,,
27,100.0,99.875949341112,,
28,99.7,99.79745600487087,,
29,99.9,99.88282403919436,,
30,87.0,86.99817843383417,,
31,98.9,98.88847121404646,,
32,99.8,99.74298934543282,,
33,99.9,99.86128005079198,,
34,99.9,99.91306644402061,,
35,97.8,97.7888276416235,,
36,99.8,99.77722131024464,,
37,99.4,99.39710586824935,,
38,99.8,99.89839304435552,,
39,65.5,65.50434442752874,,
40,99.7,99.71554374480445,,
41,96.9,96.91052088306017,,
42,92.5,92.49271996484774,,
